Year,Month,EDC,Average,Median
2017,8,APS,27.04,24.03
2017,8,DUQ,27.36,23.64
2017,8,METED,24.38,21.49
2017,8,PECO,24.23,21.59
2017,8,PENELEC,25.56,22.6
2017,8,PPL,23.92,21.3
2017,9,APS,31.19,23.77
2017,9,DUQ,31.19,22.99
2017,9,METED,29.19,20.89
2017,9,PECO,22.11,20.11
2017,9,PENELEC,27.95,21.76
2017,9,PPL,25.89,20.53
2017,10,APS,28.64,25.72
2017,10,DUQ,28.22,25.64
2017,10,METED,21.54,19.56
2017,10,PECO,23.04,21.28
2017,10,PENELEC,26.65,24.27
2017,10,PPL,22.17,20.13
2017,11,APS,28.99,25.47
2017,11,DUQ,28.17,25.12
2017,11,METED,27.52,23.36
2017,11,PECO,25.8,23.26
2017,11,PENELEC,31.42,24.92
2017,11,PPL,25.11,23.12
2017,12,APS,37.86,27.99
2017,12,DUQ,33.1,27.08
2017,12,METED,44.34,28.15
2017,12,PECO,45.42,27.39
2017,12,PENELEC,39.35,27.83
2017,12,PPL,44.23,27.27
2018,1,APS,78.28,43.08
2018,1,DUQ,65.26,38.5
2018,1,METED,89.42,44.56
2018,1,PECO,87.68,41.03
2018,1,PENELEC,75.01,42.79
2018,1,PPL,85.19,40.24
2018,2,APS,26.33,24.04
2018,2,DUQ,25.78,23.72
2018,2,METED,25.59,22.78
2018,2,PECO,24.9,22.92
2018,2,PENELEC,27.79,23.81
2018,2,PPL,24.27,22.57
2018,3,APS,34.84,28.04
2018,3,DUQ,33.85,27.76
2018,3,METED,25.14,21.62
2018,3,PECO,26.0,22.42
2018,3,PENELEC,30.45,26.13
2018,3,PPL,24.5,21.05
2018,4,APS,36.49,31.96
2018,4,DUQ,39.89,31.82
2018,4,METED,30.33,27.32
2018,4,PECO,31.82,28.37
2018,4,PENELEC,34.75,30.43
2018,4,PPL,30.49,27.58
2018,5,APS,35.8,28.9
2018,5,DUQ,46.43,28.96
2018,5,METED,22.55,19.11
2018,5,PECO,24.75,20.69
2018,5,PENELEC,33.01,25.39
2018,5,PPL,22.95,19.17
2018,6,APS,29.96,25.11
2018,6,DUQ,30.94,24.9
2018,6,METED,25.38,20.78
2018,6,PECO,25.08,20.85
